Слово,Орфоэпическая транскрипция,Слово с ударением
балбеса,* b a1 l b' e0 s / a4,балбе0са
балкон,* b a1 l k o0 n,балко0н
балкона,* b a1 l k o0 n / a4,балко0на
балконе,* b a1 l k o0 n' / i4,балко0не
балконной,* b a1 l k o0 n + - / a4 j,балко0нной
балконную,* b a1 l k o0 + n / u4 j u4,балко0нную
бамбук,* b a1 m b u0 k,бамбу0к
банок,* b a0 n + a4 k,ба0нок
баснословные,* b a2 + s n = a1 * s l o0 v + n / y4 j i4,басносло0вные
батум,* b a1 t u0 m,бату0м
башни,* b a0 sh n' / i4,ба0шни
бдению,* b d' + e0 n' i4 j / u4,бде0нию
бегал,* b' e0 g + a4 + l,бе0гал
бегите,* b' i1 g' + i0 + t' i4,беги0те
бегло,* b' e0 g + l + a4,бе0гло
бедность,* b' e0 d n + a4 s' t',бе0дность
бедняга,* b' i1 d n' + a0 g / a4,бедня0га
беднягам,* b' i1 d n' + a0 g / a4 m,бедня0гам
бежал,* b' i1 zh + a0 + l,бежа0л
бежали,* b' i1 zh + a0 + l' / i4,бежа0ли
бежит,* b' i1 zh / y0 t,бежи0т
безвыходное,~ b' i1 z * v y0 h a4 d + n / a4 j i4,безвы0ходное
безвыходном,~ b' i1 z ~ v y0 * h a4 d + n / a4 m,безвы0ходном
безвыходных,~ b' i1 z * v y0 h a4 d + n / y4 h,безвы0ходных
бездоказательно,~ b' i1 z ~ d a2 * k a1 z + a0 + t' i4 l' n + a4,бездоказа0тельно
бездонку,~ b' i1 z * d o0 n + k / u4,бездо0нку
безнадежен,~ b' i1 z * n a1 d' o0 zh + y4 n,безнаде0жен
безнадежно,~ b' i1 z * n a1 d' o0 zh + n + a4,безнаде0жно
безнравственнее,~ b' i1 z * n r a0 f + s t v' + i4 n' / i4 j i4,безнра0вственнее
безотносительно,~ b' i1 z ~ a2 t * n a1 s' + i0 + t' i4 l' n + a4,безотноси0тельно
безотчетных,~ b' i1 z ~ a1 * ch o0 t + n / y4 h,безотче0тных
безумием,~ b' i1 z * u0 m' + i4 / j i4 m,безу0мием
безумное,~ b' i1 z * u0 m + n / a4 j i4,безу0мное
безусловно,~ b' i1 z * u1 s l o0 v + n + a4,безусло0вно
безучастно,~ b' i1 z * u1 ch a0 s + n + a4,безуча0стно
безучастность,~ b' i1 z * u1 ch a0 s + n + a4 s' t',безуча0стность
белая,* b' e0 l / a4 - i4,бе0лая
белеет,* b' i1 l' + e0 / - i4 t,беле0ет
белела,* b' i1 l' + e0 + l / a4,беле0ла
белизной,* b' i1 l' + i1 z n / o0 j,белизно0й
бело-кирпичного,* b' e0 l ^ a4 * k' i1 r p' i0 ch + n / a4 v a4,бе0ло-кирпичного
белого,* b' e0 l / a4 v a4,бе0лого
белое,* b' e0 l / a4 j,бе0лое
белокровия,* b' i1 l = a1 * k r o0 v' + i4 / j a4,белокро0вия
белые,* b' e0 l / y4 - i4,бе0лые
белыми,* b' e0 l / y4 m' i4,бе0лыми
белых,* b' e0 l / y4 h,бе0лых
бельгии,* b' e0 l' g' i4 / i4,бе0льгии
берег,* b' e0 r' i4 k,бе0рег
берега,* b' e0 r' i4 g / a4,бе0рега
берегами,* b' i1 r' i1 g / a0 m' i4,берега0ми
берегом,* b' e0 r' i4 g / a4 m,бе0регом
берегу,* b' e0 r' i4 g / u4,бе0регу
берегут,* b' i1 r' i1 g / u0 t,берегу0т
бережет,* b' i1 r' i1 zh / o0 t,береже0т
бережно,* b' e0 r' i4 zh + n + a4,бе0режно
берез,* b' i1 r' o0 s,бере0з
березками,* b' i1 r' o0 s + k / a4 m' i4,бере0зками
березой,* b' i1 r' o0 z / a4 j,бере0зой
березы,* b' i1 r' o0 z / y4,бере0зы
берет,* b' i1 r' / e0 t,бере0т
беречь,* b' i1 r' e0 ch,бере0чь
беседу,* b' i1 s' e0 d / u4,бесе0ду
бесконечно,~ b' i1 s * k a1 n' e0 ch + n + a4,бесконе0чно
бескорыстно,~ b' i1 s * k a1 r y0 s + n + a4,бескоры0стно
беспардонно,~ b' i1 s * p a1 r d o0 n + - + a4,беспардо0нно
беспокойное,~ b' i1 s * p a1 k o0 j + n / a4 j i4,беспоко0йное
беспокойся,~ b' i1 s * p a1 k o0 j ^ s' a4,беспоко0йся
бесполезно,~ b' i1 s * p a1 l' e0 z + n + a4,бесполе0зно
беспощадности,~ b' i1 s * p a1 sc a0 d + n + a4 s' t' / i4,беспоща0дности
беспричинная,~ b' i1 s ~ p r' i1 * ch i0 + n / a4 j a4,беспричи0нная
бессильнее,~ b' i1 s' * - i0 l' + n' + i4 - e0,бесси0льнее
бессильны,~ b' i1 s * s' i0 l' + n / y4,бесси0льны
бессмысленно,~ b' i1 * s m y0 s l' + i4 n + a4,бессмы0сленно
бессознательно,~ b' i1 s ~ - a1 * z n a0 + t' i4 l' n + a4,бессозна0тельно
бессонницей,~ b' i1 s * - o0 n' + - i4 c / y4 j,бессо0нницей
бестактностей,~ b' i1 s * t a0 k t + n + a4 s' t' / i4 j,беста0ктностей
бестактности,~ b' i1 s * t a0 k t + n + a4 s' t' / i4,беста0ктности
бестактность,~ b i1 s * t a0 k t + n + a4 s' t',беста0ктность
бесчувственность,~ b' i1 * s ch u0 s t + v' i4 n + n a4 s',бесчу0вственность
бетонированная,* b' i1 t a1 n' + i0 r a4 v a4 + n / a4 j a4,бетони0рованная
бетонным,* b' i1 t o0 n + - / y4 m,бето0нным
бетховена,* b y1 t h o0 v' i4 n / a4,бетхо0вена
библиографом,* b' i1 b l' i1 o0 g r a4 f / a4 m,библио0графом
библиотеки,* b' i1 b l' i1 a1 t' e0 k' / i4,библиоте0ки
бидончик,* b' i1 d o0 n' + ch i4 k,бидо0нчик
билеты,* b' i1 l' e0 t / y4,биле0ты
бильярде,* b' i1 l' j a0 r d' / i4,билья0рде
биржевые,* b' i1 r zh + y1 v / y0 j i4,биржевы0е
бить,* b' + i0 / d',би0ть
благо,* b l a0 g / a4,бла0го
благодарил,* b l a2 g a2 d a1 r' + i0 + l,благодари0л
благодарить,* b l a2 g a2 d a1 r' + i0 / t',благодари0ть
благодарностью,* b l a2 g a1 d a0 r + n + a4 s' t' / j u4,благода0рностью
благодарят,* b l a2 g a2 d a1 r' / a0 d,благодаря0т
благожелательно,* b l a2 g = a2 * zh y1 l a0 + t' i4 l' n + a4,благожела0тельно
благородно,* b l a2 g = a1 * r o0 d + n + a4,благоро0дно
благородным,* b l a2 g a1 r o0 d + n / y4 m,благоро0дным
благородными,* b l a2 g a1 r o0 d + n / y4 m' i4,благоро0дными
блаженной,* b l a1 zh + e0 n / a4 j,блаже0нной
блаженства,* b l a1 zh + e0 n s t v / a4,блаже0нства
блаженство,* b l a1 zh + e0 n s t v / a4,блаже0нство
бледное,* b l' e0 d n / a4 j i4,бле0дное
бледности,* b l' e0 d n + a4 s' t' / i4,бле0дности
блеска,* b l' e0 s k / a4,бле0ска
блестели,* b l' i1 s' t' + e0 + l' / i4,блесте0ли
блестело,* b l' i1 s' t' + e0 + l / a4,блесте0ло
блестящей,* b l' i1 s' t' + a0 sc / i4 j,блестя0щей
блестящую,* b l' i1 s' t' + a0 sc / u4 j u4,блестя0щую
блещет,* b l' e0 sc / i4 t,бле0щет
ближе,* b l' i0 zh + y4,бли0же
близкие,* b l' i0 s + k' / i4 j i4,бли0зкие
близких,* b l' i0 s + k' / i4 h,бли0зких
близко,* b l' i0 s + k + a4,бли0зко
близорукие,* b l' i1 z = a1 * r u0 k' / i4 j e4,близору0кие
блицы,* b l' i0 c / y4,бли0цы
блока,* b l o0 k / a4,бло0ка
блокнот,* b l a1 k n o0 t,блокно0т
бог,* b o0 h,бо0г
богу,* b o0 g / u4,бо0гу
бодро,* b o0 d r + a4,бо0дро
бодростью,* a4 j b o0 + d r a4 / s' t',бодро0стью
бодрым,* b o0 d r / y4 m,бо0дрым
боже,* b o0 zh / y4,бо0же
боится,* b a1 / - i0 ^ c a4,бои0тся
боишься,* b a1 ^ i0 sh / s' a4,бои0шься
бок,* b o0 k,бо0к
бокалы,* b a1 k a0 l / y4,бока0лы
боковую,* b a2 k + a1 v / u0 j u4,бокову0ю
боком,* b o0 k / a4 m,бо0ком
более,* b o0 l' + e4 j i4,бо0лее
болезненно,* b a1 l' + e0 + z' n' + i4 n - + a4,боле0зненно
болезни,* b a1 l' + e0 + z' n' / i4,боле0зни
болезнь,* b a1 l' + e0 + z' n',боле0знь
болезнью,* b a1 l' + e0 + z' n' / j u4,боле0знью
болела,* b a1 l' + e0 + l / a4,боле0ла
болен,* b o0 l' + i4 n,бо0лен
болеть,* b a1 l' + e0 / t',боле0ть
боли,* - o0 l' / i4,бо0ли
болит,* b a1 l' / i0 t,боли0т
болтун,* b a1 l t + u0 n,болту0н
больницу,* - - l' + n' + i0 c / u4,бо0льницу
больницы,* b a1 l' + n' i0 c / y4,больни0цы
больно,* b o0 l' + n + a4,бо0льно
больное,* b a1 l' + n / o0 - i4,больно0е
больной,* b a1 l' + n / o0 j,больно0й
больные,* b a1 l' + n / y0 j i4,больны0е
больным,* b a1 l' + n / y0 m,больны0м
большак,* b a1 l' sh + a0 k,больша0к
большая,* b a1 l' + sh / a0 j a4,больша0я
больше,* b o0 l' sh + y4,бо0льше
большей,* b o0 l' sh / y4 -,бо0льшей
большие,* b a1 l' sh / y0 j i4,больши0е
большим,* b a1 l' sh / y0 m,больши0м
большими,* b a1 l' + sh / y0 m' i4,больши0ми
большое,* b a1 l' + sh / o0 j i4,большо0е
большой,* b a1 l' sh / o0 j,большо0й
большую,* b a1 l' sh / u0 j u4,большу0ю
бомбу,* b o0 m b / u4,бо0мбу
бормотал,* b a2 r m a1 t + a0 + l,бормота0л
бормотала,* b a2 r m a1 t + a0 + l / a4,бормота0ла
бормотанием,* b a2 r m a1 t + a0 n' i4 / j i4 m,бормота0нием
бородка,* b a1 r o0 t + k / a4,боро0дка
бородками,* b a1 r o0 t + k / a4 m' i4,боро0дками
бородки,* b a1 r o0 t + k' / i4,боро0дки
бородкой,* b a1 r o0 t + k / a4 j,боро0дкой
бороду,* b o0 r a4 d / u4,бо0роду
боролся,* b a1 r + o0 + l ^ s' a4,боро0лся
босой,* b a1 s / o0 j,босо0й
ботинки,* b a1 t' i0 n + k' / i4,боти0нки
ботиночки,* b a1 t' i0 n + a4 ch k' / i4,боти0ночки
боткинскую,* b o0 t k' i4 n + s k / u4 - u4,бо0ткинскую
боюсь,* b a1 / j u0 ^ s',бою0сь
боялась,* b a1 j + a0 + l / a4 ^ s',боя0лась
боялись,* b a1 + j a0 + l' / i4 ^ s',боя0лись
боялся,* b a1 j + a0 + l ^ s' a4,боя0лся
боятся,* b a1 j / a0 ^ c a4,боя0тся
браатья,* b r a0 t' j / a4,бра0атья
брака,* b r a0 k / a4,бра0ка
браке,* b r a0 k' / i4,бра0ке
браков,* b r a0 k / a4 f,бра0ков
брат,* - r a0 t,бра0т
брата,* b r a0 t / a4,бра0та
братнин,* b r a0 t + n' + i4 n,бра0тнин
братом,* b r a0 t / a4 m,бра0том
брату,* b r a0 t / u4,бра0ту
брать,* b r + a0 / t',бра0ть
братьев,* b r a0 t' / j i4 f,бра0тьев
братья,* b r a0 t' j / a4,бра0тья
братьями,* b r a0 t' / j i4 m' i4,бра0тьями
бревенчатый,* b r' i1 v' e0 n' + ch i4 t / y4 j,бреве0нчатый
брился,* b r' + i0 + l ^ s' a4,бри0лся
брови,* b r o0 v' / i4,бро0ви
бродил,* b r a1 d' + i0 + l,броди0л
бросала,* b r a1 s + a0 + l / a4,броса0ла
бросалось,* b r a1 s + a0 + l / a4 ^ z',броса0лось
бросая,* b r a1 s + a0 + j a4,броса0я
бросил,* b r o0 s' + i4 + l,бро0сил
бросила,* b r o0 s' + i4 + l / a4,бро0сила
бросило,* b r o0 s' + i4 + l / a4,бро0сило
бросился,* b r o0 s' + i4 + l ^ s' a4,бро0сился
бросит,* b r o0 s' / i4 t,бро0сит
бросить,* b r o0 s' + i4 / t',бро0сить
брюки,* b r' u0 k' / i4,брю0ки
брюнет,* b r' u1 n e0 -,брюне0т
брякнул,* b r' a0 k + n u4 + l,бря0кнул
брякнуто,* b r' a0 k + n u4 + t + a4,бря0кнуто
бубнила,* b u1 b n' + i0 + l / a4,бубни0ла
будем,* b u0 d' / i4 m,бу0дем
будет,* b u0 d / u4 d,бу0дет
будете,* b u0 d' / i4 t' i4,бу0дете
будешь,* b u0 d' / i4 sh,бу0дешь
будка,* b u0 t + k / a4,бу0дка
буднично,* b u0 d n' + i4 ch n + a4,бу0днично
будто,* b u0 t - a4,бу0дто
буду,* b u0 d / u4,бу0ду
будут,* b u0 d / u4 d,бу0дут
будущем,* b u0 d + u4 sc / e4 m,бу0дущем
будущий,* b u0 d + u4 sc / i4 j,бу0дущий
будь,* b u0 d',бу0дь
буйствует,* b u0 j + s t v + u4 / j i4 t,бу0йствует
буквально,* b u1 k v + a0 l' n + a4,буква0льно
буквами,* b u0 k v / a4 m' i4,бу0квами
буквы,* b u0 k v / y4,бу0квы
букетик,* b u1 k' e0 t' + i4 k,буке0тик
букетики,* b u1 k' e0 t' + i4 k' / i4,буке0тики
буксире,* b u1 k s' + i0 r' / i4,букси0ре
буксовал,* b u1 k s + a1 v a0 + l,буксова0л
булыжной,* b u1 l y0 zh + n / a4 j,булы0жной
бульвар,* b u1 l' v a0 r,бульва0р
бульваре,* b u1 l' v a0 r' / i4,бульва0ре
бульвару,* b u1 l' v a0 r / u4,бульва0ру
бумага,* b u1 m a0 g / a4,бума0га
бумаге,* b u1 m a0 g' / i4,бума0ге
бумагой,* b u1 m a0 g / a4 j,бума0гой
бури,* b u0 r' / i4,бу0ри
бусами,* b u0 s / a4 m' i4,бу0сами
бутылка,* b u1 t y0 l + k / a4,буты0лка
бутылками,* b u1 t y0 l + k / a4 m' i4,буты0лками
бутылках,* b u1 t y0 l + k / a4 h,буты0лках
бутылки,* b u1 t y0 l + k' / i4,буты0лки
бутылку,* b u1 t y0 l + k / u4,буты0лку
буфет,* b u1 f' e0 d,буфе0т
буфете,* b u1 f' e0 t' / i4,буфе0те
бухарских,* b u1 h a0 r + s k' / i4 h,буха0рских
бухточки,* b u0 h t + a4 ch k' / i4,бу0хточки
бывает,* b y1 + v a0 / - i4 t,быва0ет
бывал,* b y1 + v a0 + l,быва0л
бывала,* b y1 + v a0 + l / a4,быва0ла
бывали,* b y1 + v a0 + l' / i4,быва0ли
бывало,* b y1 + v a0 + l / a4,быва0ло
бывать,* b y1 + v a0 / t',быва0ть
бываю,* b y1 + v a0 j / u4,быва0ю
бывают,* b y1 + v a0 / j u4 d,быва0ют
бывшая,* b y0 + f sh / a4 j a4,бы0вшая
бывшие,* b y0 + f sh / y4 - i4,бы0вшие
бывший,* b y0 + f sh / y4 -,бы0вший
был,* b y0 / l,бы0л
была,* b y1 + l / a0,была0
были,* b y0 + l' / i4,бы0ли
было,* b y0 + l / a4,бы0ло
быстрее,* b y1 s t r' + e0 j i4,быстре0е
быстренько,* b y0 s t r' + i4 n' k + a4,бы0стренько
быстро,* b y0 s t r + a4,бы0стро
быстро-то,* b y0 s t r + a4 + t o0,бы0стро-то
быстрой,* b y0 s t r / a4 j,бы0строй
быстрым,* b y0 s t r / y4 m,бы0стрым
быстрыми,* b y0 s t r / y4 m' i4,бы0стрыми
бытовая,* b y1 t + a1 v / a0 j a4,бытова0я
бытом,* b y0 t / a4 m,бы0том
быть,* b y0 / -,бы0ть
бюллетене,* b' u1 l' i1 t' e0 n' / i4,бюллете0не
бюсте,* b' u0 s' t' / i4,бю0сте
в-третьих,~ f * t r' + e0 t' + j i4 h,в-тре0тьих
вагон,* v a1 g o0 n,ваго0н
вагона,* v a1 g o0 n / a4,ваго0на
важен,* v a0 zh + y4 n,ва0жен
важно,* v a0 zh + n + a4,ва0жно
важное,* v a0 zh + n / a4 j i4,ва0жное
важным,* v a0 zh + n / y4 m,ва0жным
валерка,* v a1 l' e0 r + k / a4,вале0рка
валька,* v a0 l' + k / a0,ва0лька
валя,* v a0 l' / a4,ва0ля
валявшиеся,* v a1 l' + a0 + f sh / y4 j i4 ^ s' a4,валя0вшиеся
валяется,* v a1 l' + a0 / j i4 ^ c a4,валя0ется
валяться,* v a1 l' + a0 ^ c a4,валя0ться
вам,* v / a0 m,ва0м
вами,* v / a0 m' i4,ва0ми
вандерере,* v a0 n d' e4 r' i4 r' / i4,ва0ндерере
ваней,* v a0 n' / i4,ва0ней
ванна,* v a0 n / a4,ва0нна
ванне,* v a0 n' / i4,ва0нне
ванной,* v a0 n - / a4 j,ва0нной
ванную,* v a0 n - / u4 j u4,ва0нную
варвара,* v a1 r v a0 r / a4,варва0ра
варварой,* v a1 r v a0 r / a4 -,варва0рой
варвары,* v a1 r v a0 r / y4,варва0ры
варенье,* v a1 r' + e0 n' j / i4,варе0нье
вариант,* j v a2 r' i1 a0 n,вариа0нт
варить,* v a1 r' + i0 / t',вари0ть
варшавку,* v a1 r sh a0 f + k / u4,варша0вку
вас,* v / a0 s,ва0с
василий,* v a1 s' i0 l' + i4 j,васи0лий
василия,* v a1 s' i0 l' + i4 j / a4,васи0лия
васильевич,* v a1 s' i0 j + j i4 v' + i4 ch,васи0льевич
васильевича,* v a1 s' i0 l' + j i4 - + - ch / a4,васи0льевича
васильевиче,* v a1 s' i0 l' + j i4 v' + i4 ch / i4,васи0льевиче
васильевичем,* v a1 s' i0 l' + j i4 ch + i4 m / i1 v',васи0льевичем
васильевичу,* v a1 s' i0 l' + j i4 v' + i4 ch / u4,васи0льевичу
васильевна,* v a1 s' i0 l' + j i4 v + n / a4,васи0льевна
васильевны,* v a1 s' i0 l' + j i4 v + n / y4,васи0льевны
ватку,* v a0 t + k / u4,ва0тку
ватным,* v a0 t + n / y4 m,ва0тным
ватных,* v a0 t + n / y4 h,ва0тных
вафельным,* v a0 f' i4 l' + n / y4 m,ва0фельным
ваш,* v / a0 sh,ва0ш
ваша,* v a0 sh / a4,ва0ша
вашего,* v / a0 sh y4 v a4,ва0шего
вашей,* v a0 sh / y4 j,ва0шей
вашем,* v a0 sh / y4 m,ва0шем
вашему,* v a0 sh / y4 m u4,ва0шему
вашим,* v a0 sh / y4 m,ва0шим
ваших,* v a0 sh / y4 h,ва0ших
вверх,~ - * v' e0 r h,вве0рх
ввинтил,* v v' i1 n' + t' + i0,ввинти0л
вдвое,~ v * d v / o0 - i4,вдво0е
вдвоем,~ v * d v + a1 + j o0 m,вдвое0м
вдовой,* v d a1 v / o0 j,вдово0й
вдоволь,~ v ~ d o0 * v a4 l',вдо0воль
вдовы,* v d o0 v / y4,вдо0вы
вдоль,* v d o0 l',вдо0ль
вдохновляло,~ v * d a2 h + n + a1 v + l' + a0 + l / a4,вдохновля0ло
вдруг,* v d r u0 g,вдру0г
ведет,* v' i1 d' / o0 d,веде0т
ведущей,* v' i1 d + u0 sc / i4 j,веду0щей
ведь,* v' e0 d',ве0дь
вежливо,* v' e0 zh + l' i4 v + a4,ве0жливо
везения,* v' i1 z' + e0 n' i4 j / a4,везе0ния
век,* v' e0 k,ве0к
века,* v' e0 k / a4,ве0ка
великие,* v' i1 l' i0 k' / i4 j i4,вели0кие
великодушие,* v' i1 l' + i1 k = a1 * d u0 sh + y4 - / i4,великоду0шие
великолепны,* v' i1 l' i1 k = a1 * l' e0 p + n / y4,великоле0пны
величайшее,* v' i1 l' i1 ch - + a0 j sh / i4 j i4,велича0йшее
велосипедист,* v' i1 l a2 s' i1 p' i1 d' + i0 s t,велосипеди0ст
вера,* - e0 r / a4,ве0ра
веранде,* v' i1 r a0 n d' / i4,вера0нде
верандочками,* v' i1 r a0 n d + a4 ch k / a4 m' i4,вера0ндочками
верандочке,* v' i1 r a0 n d + a4 ch k' / i4,вера0ндочке
верандочки,* v' i1 r a0 n d + a4 ch k' / i4,вера0ндочки
веранды,* v' i1 r a0 n d / y4,вера0нды
вере,* v' e0 r' / i4,ве0ре
веревку,* v' i1 r' o0 f + k / u4,вере0вку
верил,* v' e0 r' + i4 + l,ве0рил
верим,* v' e0 r' / i4 m,ве0рим
верит,* v' e0 r' / i4 t,ве0рит
верить,* v' e0 r' + i4 / t',ве0рить
вернее,* v' i1 + r + n' e0 j,верне0е
верней,* v' i1 r + n' + e0 i4,верне0й
вернемся,* v' i1 r + n' / o0 m ^ s' a4,верне0мся
вернется,* v' i1 r + n' / o0 ^ c a4,верне0тся
верно,* v' e0 r + n + a4,ве0рно
вернувшись,* v' i1 r + n u0 + f sh y4 ^ s',верну0вшись
вернулась,* v' i1 r + n u0 + l / a4 ^ s',верну0лась
вернулись,* v' i1 r + n u0 + l' / i4 ^ s',верну0лись
вернулся,* v' i1 r + n u0 + l ^ s' a4,верну0лся
вернуться,* v' i1 r + n u0 / c ^ - a4,верну0ться
верой,* v' e0 r / a4 j,ве0рой
вертелись,* v' i1 r t' + e0 + l' / i4 ^ s',верте0лись
веру,* v' e0 r / u4,ве0ру
верхней,* v' e0 r h + n' / i4 j,ве0рхней
верхом,* v' e0 r h + a4 m,ве0рхом
веры,* v' e0 r / y4,ве0ры
верят,* v' e0 r' / i4 t,ве0рят
весело,* v' e0 s' i4 l + a4,ве0село
веселые,* v' i1 s' o0 l / y4 j i4,весе0лые
веселый,* v' i1 s' o0 l / y4 j,весе0лый
веселье,* v' i1 s' e0 + l' / j,весе0лье
веселясь,* v' i1 s' i1 l' + a0 ^ s',веселя0сь
веснушчатое,* v' i1 s n + u0 sc + i4 t / a4 j i4,весну0шчатое
веснушчатой,* v' i1 s n + u0 sc + a4 t / a4 j,весну0шчатой
вести,* v' e0 s' / t' i4,ве0сти
вестибюле,* v' i1 s' t' i1 b' u0 l' / i4,вестибю0ле
вестибюль,* v' i1 s' t' i1 b' u0 l',вестибю0ль
весь,* v' e0 s',ве0сь
веточки,* v' e0 t + a4 ch k' / i4,ве0точки
ветрами,* v' i1 t r / a0 m' i4,ветра0ми
ветром,* v' e0 t r / a4 m,ве0тром
ветхие,* v' e0 t h' / i4 j i4,ве0тхие
ветхое,* v' e0 t h / a4 j i4,ве0тхое
ветчиной,* v' i1 ch i1 n / o0 j,ветчино0й
вечер,* v' e0 ch i4 r,ве0чер
вечера,* v' e0 ch i4 r / a4,ве0чера
вечерам,* v' i1 ch i1 r / a0 m,вечера0м
вечерами,* v' i1 ch i1 r / a0 m' i4,вечера0ми
вечернего,* v' i1 ch e0 r + n' / i4 v a4,вече0рнего
вечеров,* v' i1 ch i1 r / o0 f,вечеро0в
вечером,* v' e0 ch i4 r / a4 m,ве0чером
вечной,* v' e0 ch + n / a4 j,ве0чной
вечным,* v' e0 ch + n / y4 m,ве0чным
вешалку,* v' e0 sh + a4 + l + k / u4,ве0шалку
вещей,* v' i1 sc / e0 j,веще0й
вещи,* v' e0 sc / i4,ве0щи
