Слово,Слово с делением на морфемы,Орфоэпическая транскрипция,Реальное произнесение,Количество словоупотреблений,Файлы
административной,*администр+ат+ивн/ой,* a1 d m' i1 n' i1 s t r + a1 t' + i0 v n / a4 j,* a1 d m' i1 n' i1 s t r + e1 t' + i0 v n / e4 j,1,ata0875
административной,*администр+ат+ивн/ой,* a2 d m' i1 n' i1 s t r + a1 t' + i0 v n / a4 j,* a2 d m' i1 n' i1 s t r + a1 t' + i0 v n / y4 i4,1,cta0875
адреса,*адрес/а,* a0 d r' i4 s / a4,* a0 d r' e4 s / a4,1,gte0272
адреса,*адрес/а,* a0 d r' i4 s / a4,* a0 d r' e4 s / e4,1,gta0034
адреса,*адрес/а,* a0 d r' i4 s / a4,* a0 d r' i4 s / a4,1,ste0272
адреса,*адрес/а,* a0 d r' i4 s / a4,* a0 d r' i4 s / y4,6,"cta0034,kta0034,ota0034,sta0034,uta0034,ata0034"
адреса,*адрес/а,* a0 d r' i4 s / a4,* a0 d r' s / y4,1,mta0034
адресованном,*адрес+ова+нн/ом,* a1 d r' i1 s + o0 v a4 + n / a4 m,* a1 d r' i1 s + o0 v o4 + n / y4 m,1,ktb1762
адресованном,*адрес+ова+нн/ом,* a1 d r' i1 s + o0 v a4 + n / a4 m,* a1 d r' i1 s + o0 v y4 + n / y4 m,1,atb1762
адресованном,*адрес+ова+нн/ом,* a2 d r' i1 s + o0 v a4 + n / a4 m,* a2 d r' i1 s + o0 v y4 + n / a4 m,1,ctb1762
адресу,*адрес/у,* a0 d r' i4 s / u4,* a0 d r' i4 s / u4,5,"ctb1753,gte0273,ktb1753,ste0273,atb1753"
академической,*академ+ич+е+ск/ой,* a1 k a2 d' i1 m' + i0 ch + i4 + s k / a4 j,* a1 k a2 d' i1 m' + i0 ch + i4 + s k / i4,1,mta0018
академической,*академ+ич+е+ск/ой,* a1 k a2 d' i1 m' + i0 ch + i4 + s k / a4 j,* a1 k y1 d' i1 m' + i0 ch + + s k / y4,1,uta0018
академической,*академ+ич+е+ск/ой,* a1 k a2 d' i1 m' + i0 ch + i4 + s k / a4 j,* a1 k y1 d' i1 m' + i0 ch + i4 + s k / y4,3,"cta0018,kta0018,ata0018"
академической,*академ+ич+е+ск/ой,* a1 k a2 d' i1 m' + i0 ch + i4 + s k / a4 j,* e1 k a2 d' i1 m' + i0 ch + i4 + s k / y4,1,sta0018
академической,*академ+ич+е+ск/ой,* a1 k a2 d' i1 m' + i0 ch + i4 + s k / a4 j,* e1 k y1 d' i1 m' + i0 ch + e1 + s k / e4,1,gta0018
академической,*академ+ич+е+ск/ой,* a1 k a2 d' i1 m' + i0 ch + i4 + s k / a4 j,* e1 k y1 d' i1 m' + i0 ch + i4 + s k / e,1,ota0018
аккуратная,*аккурат+н/ая,* a1 k u1 r a0 t + n / a4 j a4,* a1 k u1 r a0 t + n / e4 e4,3,"ctb0699,otb0699,atb0699"
аккуратная,*аккурат+н/ая,* a1 k u1 r a0 t + n / a4 j a4,* a1 k u1 r a0 t + n / y4 e4,2,"ktb0699,utb0699"
аккуратная,*аккурат+н/ая,* a1 k u1 r a0 t + n / a4 j a4,* a1 k u1 r a0 t + n / y4 y4,1,stb0699
аккуратная,*аккурат+н/ая,* a1 k u1 r a0 t + n / a4 j i4,* a1 k u1 r a0 t + n / y4 e4,1,gtb0699
аккуратная,*аккурат+н/ая,* a2 k u1 r a0 t + n / a4 j a4,* k u1 r a0 t + n / a4 e4,1,mtb0699
аккуратно,*аккурат+н+о,* a1 k u1 r a0 t + n + a4,* a1 k o1 r a0 t + n + a4,1,gtb0644
аккуратно,*аккурат+н+о,* a1 k u1 r a0 t + n + a4,* a1 k u1 r a0 t + n + a4,6,"ctb0644,ctb1943,kta1070,ktb0644,ata1070,atb1943"
аккуратно,*аккурат+н+о,* a1 k u1 r a0 t + n + a4,* a1 k u1 r a0 t + n + e4,2,"cta1070,ktb1943"
аккуратно,*аккурат+н+о,* a1 k u1 r a0 t + n + a4,* a1 k u1 r a0 t + n + y4,3,"otb0644,stb0644,atb0644"
аккуратно,*аккурат+н+о,* a1 k u1 r a0 t + n + a4,* e1 k u1 r a0 t + n + e4,1,mtb0644
аккуратно,*аккурат+н+о,* a2 k u1 r a0 t + n + a4,* a2 k u1 r a0 t + n + y4,1,utb0644
аккуратный,*аккурат+н/ый,* a1 k u1 r a0 t + n / y4 j,* a1 k u1 r a0 t + n / y4,1,ktb1563
аккуратный,*аккурат+н/ый,* a1 k u1 r a0 t + n / y4 j,* a1 k u1 r a0 t + n / y4 i4,1,ctb1563
аккуратный,*аккурат+н/ый,* a1 k u1 r a0 t + n / y4 j,* a1 k u1 r a0 t + n / y4 y4,1,atb1563
аксиому,*аксиом/у,* a1 k s' i1 o0 m / u4,* a1 k s' i1 o0 m / u4,2,"kta0897,ata0897"
аксиому,*аксиом/у,* a2 k s' i1 o0 m / u4,* a2 k s' i1 o0 m / u4,1,cta0897
алебастром,*алебастр/ом,* a1 l' i1 b a0 s t r / a4 m,* a1 l' b a0 s t r / m,1,gta0271
алебастром,*алебастр/ом,* a1 l' i1 b a0 s t r / a4 m,* a1 l' i1 b a0 s t r / a4 m,1,kta0271
алебастром,*алебастр/ом,* a1 l' i1 b a0 s t r / a4 m,* a1 l' i1 b a0 s t r / y4 m,3,"sta0271,uta0271,ata0271"
алебастром,*алебастр/ом,* a1 l' i1 b a0 s t r / a4 m,* a1 l' y1 b a0 s t r / m,1,mta0271
алебастром,*алебастр/ом,* a1 l' i1 b a0 s t r / a4 m,* y1 l' i1 b a0 s t r / e4 m,1,cta0271
алебастром,*алебастр/ом,* a2 l' i1 b a0 s t r / a4 m,* a2 l' i1 b a0 s t r / m,1,ota0271
алексеевич,*алекс+е+ев+ич,* a1 l' i1 k s' + e0 + j i4 v + i4 ch,* a1 l' i1 k s' + e0 + + ch,1,kta0734
алексеевич,*алекс+е+ев+ич,* a1 l' i1 k s' + e0 + j i4 v' + i4 ch,* a1 l' i1 k s' + e0 + i4 + sc,1,kta0745
алексеевич,*алекс+е+ев+ич,* a1 l' i1 k s' + e0 + j i4 v' + i4 ch,* a1 l' i1 k s' + e0 + i4 v' + i4 ch,13,"cta0734,cta0743,cta0743,cta0744,cta0752,cta0756,cta0763,cta0768,ata0743,ata0744,ata0752,ata0756,ata0763"
алексеевич,*алекс+е+ев+ич,* a1 l' i1 k s' + e0 + j i4 v' + i4 ch,* a1 l' i4 k s' + e0 + i4 v' + i4 ch,2,"ata0743,ata0768"
алексеевич,*алекс+е+ев+ич,* a1 l' i1 k s' + e0 + j i4 v' + i4 ch,* e1 l' i1 k s' + e0 + i4 + ch,6,"kta0743,kta0743,kta0744,kta0752,kta0763,kta0768"
алексеевич,*алекс+е+ев+ич,* a1 l' i1 k s' + e0 + j i4 v' + i4 ch,* e1 l' i1 k s' + e0 + i4 v' + i4 ch,2,"cta0745,ata0745"
алексеевич,*алекс+е+ев+ич,* a1 l' i1 k s' + e0 + j i4 v' + i4 ch,* e1 l' i1 k' s' + e0 + i4 + ch,1,kta0756
алексеевич,*алекс+е+ев+ич,* j a1 l' i1 k + s' + e0 j i4 + v' i4,* a2 l' i1 k s' + e0 + i4 v' + i4 ch,1,ata0734
алексеевича,*алекс+е+ев+ич/а,* a1 l' i1 k s' + e0 + j i4 v' + i4 ch / a4,* a1 l' i1 k s' + e0 + i4 + ch / a4,1,kta0851
алексеевича,*алекс+е+ев+ич/а,* a1 l' i1 k s' + e0 + j i4 v' + i4 ch / a4,* a1 l' i1 k s' + e0 + i4 v' + i4 ch / a4,6,"cta0746,cta0747,cta0776,cta0810,ata0746,ata0747"
алексеевича,*алекс+е+ев+ич/а,* a1 l' i1 k s' + e0 + j i4 v' + i4 ch / a4,* a1 l' i1 k s' + e0 + i4 v' + i4 ch / e4,3,"ata0776,ata0810,ata0851"
алексеевича,*алекс+е+ев+ич/а,* a1 l' i1 k s' + e0 + j i4 v' + i4 ch / a4,* a2 l' i1 k s' + e0 + i4 v' + i4 ch / e4,1,cta0851
алексеевича,*алекс+е+ев+ич/а,* a1 l' i1 k s' + e0 + j i4 v' + i4 ch / a4,* e1 l' i1 k s' + e0 + i4 + ch / a4,2,"kta0747,kta0776"
алексеевича,*алекс+е+ев+ич/а,* a1 l' i1 k s' + e0 + j i4 v' + i4 ch / a4,* e1 l' i1 k s' + e0 + i4 + ch / e4,2,"kta0746,kta0810"
алексеевичем,*алекс+е+ев+ич/ем,* a1 l' i1 k s' + e0 + j i4 v' + i4 ch / i4 m,* a1 l' i1 k s' + e0 + e4 v' + i4 ch / e4 m,1,ata0910
алексеевичем,*алекс+е+ев+ич/ем,* a1 l' i1 k s' + e0 + j i4 v' + i4 ch / i4 m,* a1 l' i1 k s' + e0 + i4 + ch / e4 m,1,kta0910
алексеевичем,*алекс+е+ев+ич/ем,* a1 l' i1 k s' + e0 + j i4 v' + i4 ch / i4 m,* y1 l' i1 k s' + e0 + e4 v' + i4 ch / e4 m,1,cta0910
алексеевна,*алекс+е+ев+н/а,* a1 l' i1 k s' + e0 + i4 + v / n,* a1 l' e1 k s' + e0 + e4 + v / n,1,mta0484
алексеевна,*алекс+е+ев+н/а,* a1 l' i1 k s' + e0 + i4 + v / n,* a1 l' e4 k s' + e0 + e4 + v / n,1,gta0484
алексеевна,*алекс+е+ев+н/а,* a1 l' i1 k s' + e0 + j + i4 / v,* a1 l' e1 k s' + e0 + v + n / a4,1,kta0484
алексеевна,*алекс+е+ев+н/а,* a1 l' i1 k s' + e0 + j + i4 / v,* a1 l' i1 k s' + e0 + i4 + v / n,2,"uta0484,ata0484"
алексеевна,*алекс+е+ев+н/а,* a1 l' i1 k s' + e0 + j + i4 / v,* a1 l' i1 k s' + i0 + i4 + v / n,2,"ota0484,sta0484"
алексеевна,*алекс+е+ев+н/а,* a1 l' i1 k s' + e0 + v + n / a4,* a1 l' i1 k s' + e0 + v + n / a4,1,cta0484
алексеевной,*алекс+е+ев+н/ой,* a1 l' i1 k s' + e0 + j i4 v + n / a4 j,* a1 l' i1 k' s' + e0 + v + n / y4 j,1,kta0631
алексеевной,*алекс+е+ев+н/ой,* a1 l' i1 k s' + e0 + j i4 v + n / a4 j,* e1 l' i1 k s' + e0 + i4 v + n / y4,1,cta0631
алексеевной,*алекс+е+ев+н/ой,* j a1 l' i1 k + s' + e0 j i4 + v / n a4,* a2 l' i1 k s' + e0 + i4 v + n / a4 j,1,ata0631
алексеевны,*алекс+е+ев+н/ы,* a1 l' i1 k s' + e0 + - - v + n / y4,* a1 l' i1 k s' + e0 + v + n / y4,1,kta0107
алексеевны,*алекс+е+ев+н/ы,* a1 l' i1 k s' + e0 + - i4 v + n / y4,* a1 l' e1 k s' + e0 + e4 v + n / y4,1,gta0483
алексеевны,*алекс+е+ев+н/ы,* a1 l' i1 k s' + e0 + - i4 v + n / y4,* a1 l' y4 k s' + e0 + i4 v + n / y4,1,mta0483
алексеевны,*алекс+е+ев+н/ы,* a1 l' i1 k s' + e0 + j i4 v + n / y4,* a1 l' e1 k s' + e0 + i4 v + n / y4,1,cta0107
алексеевны,*алекс+е+ев+н/ы,* a1 l' i1 k s' + e0 + j i4 v + n / y4,* a1 l' i1 k s' + e0 + e4 f + n / y4,1,ota0483
алексеевны,*алекс+е+ев+н/ы,* a1 l' i1 k s' + e0 + j i4 v + n / y4,* a1 l' i1 k s' + e0 + i4 v + n / y4,6,"cta0483,ota0107,sta0107,uta0483,ata0107,ata0483"
алексеевны,*алекс+е+ев+н/ы,* a1 l' i1 k s' + e0 + j i4 v + n / y4,* a1 l' i1 k s' + e0 + i4 v + n' / y4,1,sta0483
алексеевны,*алекс+е+ев+н/ы,* a1 l' i1 k s' + e0 + j i4 v + n / y4,* a1 l' i1 k s' + e0 + v + n / e4,1,kta0483
алексеевны,*алекс+е+ев+н/ы,* a1 l' i1 k s' + e0 + j i4 v + n / y4,* a1 l' i1 k s' + i0 + i4 v + n / y4,1,mta0107
алексеевны,*алекс+е+ев+н/ы,* a1 l' i1 k s' + e0 + j i4 v + n / y4,* e1 l' i1 k s' + e0 + i4 v + n / y4,1,uta0107
алексеевны,*алекс+е+ев+н/ы,* a2 l' i1 k s' + e0 + - i4 v + n / y4,* a2 l' i1 k s' + e0 + e4 v + n / y4,1,gta0107
алексей,*алекс+ей,* a1 l' i1 k s' + e0 j,* a1 l' e1 k s' + e0,1,mta0446
алексей,*алекс+ей,* a1 l' i1 k s' + e0 j,* a1 l' e1 k s' + e0 i4,1,kta0446
алексей,*алекс+ей,* a1 l' i1 k s' + e0 j,* a1 l' i1 k s' + e0 i4,1,ota0446
алексей,*алекс+ей,* a1 l' i1 k s' + e0 j,* a1 l' i1 k s' + e0 j,4,"cta0446,ste0087,ste0097,uta0446"
алексей,*алекс+ей,* a1 l' i1 k s' + e0 j,* a1 l' i1 k s' + i0,2,"sta0446,ste0294"
алексей,*алекс+ей,* a1 l' i1 k s' + e0 j,* a1 l' k s' + e0,1,gte0097
алексей,*алекс+ей,* a1 l' i1 k s' + s' e0,* a1 l' i1 k s' + e0 i4,1,ata0446
алексей,*алекс+ей,* a2 l' i1 k s' + e0 j,* a2 l' e1 k s' + e0 j,1,gte0087
алексей,*алекс+ей,* a2 l' i1 k s' + e0 j,* a2 l' i1 k s' + e0 i4,2,"gta0446,gte0294"
алексея,*алекс+е/я,* a1 l' i1 k s' + e0 / j a4,* a1 l' i1 k s' + e0 / e4,1,mta0442
алексея,*алекс+е/я,* a1 l' i1 k s' + e0 / j a4,* a1 l' i1 k s' + e0 / i4,6,"cta0442,kta0442,ota0442,sta0442,uta0442,ata0442"
алексея,*алекс+е/я,* a2 l' i1 k s' + e0 / j a4,* a2 l' i1 k s' + e0 / j i4,1,gta0442
алексин,*алекс+ин,* a1 l' e0 k s' + i4 n,* a1 l' e0 k s' + e4 n,2,"ktb0001,atb0001"
алексин,*алекс+ин,* a1 l' e0 k s' + i4 n,* a1 l' e0 k s' + i4 n,6,"ctb0001,gtb0001,otb0001,stb0001,utb0001,mtb0001"
алик,*алик,* a0 l' i4 g,* a0 l' e4 g,1,ata0617
алик,*алик,* a0 l' i4 g,* a0 l' i4 g,2,"cta0617,kta0617"
алик,*алик,* a0 l' i4 k,* a0 l' e4 k,11,"ctc0636,ctc0645,ctc1497,kta0661,ktc0645,ktc0666,ktc0806,uta0393,utc0645,utc0813,utc1563"
алик,*алик,* a0 l' i4 k,* a0 l' i4 k,50,"cta0393,cta0654,cta0661,ctc0311,ctc0598,ctc0628,ctc0648,ctc0648,ctc0666,ctc0806,ctc0813,ctc1297,ctc1482,ctc1563,ctc1591,gta0393,kta0654,kta0393,ktc0311,ktc0598,ktc0628,ktc0636,ktc0648,ktc0648,ktc0813,ktc1297,ktc1346,ktc1482,ktc1497,ktc1563,ktc1591,ota0393,sta0393,utc0311,utc0598,utc0628,utc0636,utc0648,utc0648,utc0666,utc0806,utc1297,utc1346,utc1482,utc1497,utc1591,ata0393,ata0654,ata0661,mta0393"
алик,*алик,* a1 l' i0 k,* a0 l' i4 k,1,ctc1346
амбиция,*амбици/я,* a1 m b' i0 c y4 j / a4,* a1 m b' i0 c e4 / a4,1,mta0235
амбиция,*амбици/я,* a1 m b' i0 c y4 j / a4,* a1 m b' i0 c e4 / e4,1,uta0235
амбиция,*амбици/я,* a1 m b' i0 c y4 j / a4,* a1 m b' i0 c y4 / e4,2,"kta0235,sta0235"
амбиция,*амбици/я,* a1 m b' i0 c y4 j / a4,* a1 m b' i0 c y4 j / a4,1,cta0235
амбиция,*амбици/я,* a1 m b' i0 c y4 j / a4,* a1 m' b' i0 c e4 / e4,1,ota0235
амбиция,*амбици/я,* a1 m b' i0 c y4 j / a4,* a1 m' b' i0 c y4 / e4,1,ata0235
амбиция,*амбици/я,* a1 m b' i0 c y4 j / a4,* e1 m b' i0 c y4 / e4,1,gta0235
ан,*ан,* a1 n,* a0 n,1,cta1151
аналогичного,*аналог+ич+н/ого,* a1 n a2 l a1 g' + i0 ch + n / a4 v a4,* a1 n a2 l a1 g' + i0 ch + n / a4 v a4,2,"cta0898,kta0898"
аналогичного,*аналог+ич+н/ого,* a1 n a2 l a1 g' + i0 ch + n / a4 v a4,* a1 n a2 l a1 g' + i0 ch + n / y4 v y4,1,ata0898
анатолий,*анатол+ий,* a1 n a1 t o0 l' + i4 j,* a1 n a1 t o0 l' + i4 i4,1,ktb0001
анатолий,*анатол+ий,* a1 n a1 t o0 l' + i4 j,* a1 n a1 t o0 l' + i4 j,3,"ctb0001,otb0001,atb0001"
анатолий,*анатол+ий,* a1 n a1 t o0 l' + i4 j,* a1 n a1 t o0 l' + y4,1,mtb0001
анатолий,*анатол+ий,* a2 n a1 t o0 l' + i4 j,* a2 n a1 t o0 l' + i4 i4,2,"gtb0001,utb0001"
анатолий,*анатол+ий,* a2 n a1 t o0 l' + i4 j,* a2 n a1 t o0 l' + y4 j,1,stb0001
английский,*англий+ск/ий,* a1 n g l' i0 j + s k' / i4 j,* a1 n g l' i0 + s k' /,1,gta0154
английский,*англий+ск/ий,* a1 n g l' i0 j + s k' / i4 j,* a1 n g l' i0 + s k' / i4,7,"cta0154,kta0154,ota0154,sta0154,uta0154,ata0154,mta0154"
английским,*англий+ск/им,* a1 n g l' i0 j + s k' / i4 m,* a1 n g l' i0 + s k' / i4 m,5,"cta0158,ota0158,sta0158,uta0158,ata0158"
английским,*англий+ск/им,* a1 n g l' i0 j + s k' / i4 m,* a1 n g l' i0 + s k' / m,1,mta0158
английским,*англий+ск/им,* a1 n g l' i0 j + s k' / i4 m,* a1 n g l' i0 j + s k' / i4 m,2,"gta0158,kta0158"
английских,*англий+ск/их,* a1 n g l' i0 j + s k' / i4 h,* a1 n g l' i0 + s k / i4 h',1,mta0018
английских,*англий+ск/их,* a1 n g l' i0 j + s k' / i4 h,* a1 n g l' i0 + s k' / i4 h,4,"gta0018,ota0018,sta0018,ata0018"
английских,*англий+ск/их,* a1 n g l' i0 j + s k' / i4 h,* a1 n g l' i0 + s k' / i4 h',1,kta0018
английских,*англий+ск/их,* a1 n g l' i0 j + s k' / i4 h,* a1 n g l' i0 j + s k' / i4 h,2,"cta0018,uta0018"
английского,*англий+ск/ого,* a1 n g l' i0 j + s k / a4 v a4,* a1 n g l' i0 + s k / o4 v a4,1,kta0944
английского,*англий+ск/ого,* a1 n g l' i0 j + s k / a4 v a4,* a1 n g l' i0 + s k / y4 v y4,1,ata0944
английского,*англий+ск/ого,* a1 n g l' i0 j + s k / a4 v a4,* a1 n g l' i0 j + s k / e4 v a4,1,cta0944
андреевна,*андре+ев+н/а,* a1 n d r' e0 - + i4 v + n / a4,* a1 n d r' e0 + v + n / a4,1,ktb1810
андреевна,*андре+ев+н/а,* a1 n d r' e0 j + i4 v + n / a4,* a1 n d r' e0 + i4 v + n / a4,2,"ctb1810,atb1810"
андрюше,*андр+юш/е,* a1 n d r' + u0 sh / y4,* a1 n d r' + u0 sh / e4,3,"cta0657,kta0657,ata0657"
антонины,*антон+ин/ы,* a1 n t a1 n' + i0 n / y4,* a1 n t a1 n' + i0 n / e4,2,"gta0107,ata0107"
антонины,*антон+ин/ы,* a1 n t a1 n' + i0 n / y4,* a1 n t a1 n' + i0 n / y4,3,"ota0107,sta0107,mta0107"
